GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe,pov_ci_low,pov_ci_high
48201,"Harris County, Texas",74983,639,777921,15551,4786324,2391,0.16252994991563463,0.003248034128193415,0.15928191578744122,0.16577798404382804
48165,"Gaines County, Texas",74132,12194,1506,466,22037,15,0.06833961065480783,0.021146202863886753,0.04719340779092107,0.08948581351869458
48369,"Parmer County, Texas",69735,9395,977,276,9611,40,0.10165435438559983,0.028713978346506325,0.07294037603909351,0.13036833273210616
48147,"Fannin County, Texas",72295,5678,4715,654,34296,143,0.13747958945649638,0.01906066143514757,0.11841892802134882,0.15654025089164395
48111,"Dallam County, Texas",71500,9289,833,398,7261,5,0.11472249001514943,0.054813329657616386,0.05990916035753305,0.16953581967276582
48085,"Collin County, Texas",121600,1883,71971,4097,1154388,547,0.062345589177988686,0.003548943736704064,0.05879664544128462,0.06589453291469274
48431,"Sterling County, Texas",64954,18855,62,42,1434,172,0.043235704323570434,0.02882594050198099,0.014409763821589445,0.07206164482555143
48209,"Hays County, Texas",89097,2532,31591,2368,260378,715,0.12132745470047393,0.009088365706921548,0.11223908899355238,0.13041582040739547
48121,"Denton County, Texas",111498,1485,68444,3720,967766,338,0.07072370800379431,0.003843825050712012,0.0668798829530823,0.07456753305450632
48303,"Lubbock County, Texas",64155,1951,52494,2912,306150,371,0.17146496815286624,0.009509407444610476,0.16195556070825576,0.18097437559747673
48399,"Runnels County, Texas",62632,4391,1060,274,9651,31,0.10983317790902497,0.02838864825762544,0.08144452965139953,0.1382218261666504
48259,"Kendall County, Texas",114962,8014,2405,685,47818,90,0.050294868041323354,0.014324836755253747,0.035970031286069605,0.0646197047965771
48325,"Medina County, Texas",78074,4066,4918,1125,51049,189,0.09633881172990656,0.02203476351246002,0.07430404821744654,0.11837357524236658
48249,"Jim Wells County, Texas",51896,6825,9492,1223,38498,24,0.246558262766897,0.03176751219443357,0.2147907505724634,0.27832577496133054
48193,"Hamilton County, Texas",58219,7670,1347,424,8180,42,0.16466992665036675,0.05182684467811001,0.11284308197225675,0.21649677132847678
48293,"Limestone County, Texas",60573,2038,3669,483,21500,107,0.17065116279069767,0.022449057011691455,0.14820210577900622,0.19310021980238912
48191,"Hall County, Texas",48459,7802,451,150,2775,7,0.16252252252252253,0.05405249935908825,0.10847002316343428,0.21657502188161076
48305,"Lynn County, Texas",73679,7427,867,249,5701,10,0.15207858270478863,0.04367573334520318,0.10840284935958545,0.19575431604999183
48107,"Crosby County, Texas",52188,7439,991,228,4935,39,0.20081053698074974,0.04617334460613506,0.15463719237461468,0.2469838815868848
48137,"Edwards County, Texas",40313,21695,398,304,1249,283,0.31865492393915135,0.23243917316051502,0.08621575077863633,0.5510940970996664
48027,"Bell County, Texas",68865,1892,54547,3503,376070,801,0.14504480548833992,0.009309630748838216,0.1357351747395017,0.15435443623717815
48021,"Bastrop County, Texas",86226,5870,10513,1756,103305,329,0.10176661342626205,0.016995119132398737,0.08477149429386331,0.11876173255866078
48441,"Taylor County, Texas",67139,3057,20529,1877,139904,186,0.14673633348581885,0.0134149242315202,0.13332140925429864,0.16015125771733907
48291,"Liberty County, Texas",68703,4468,18229,2711,97711,297,0.18656036679595953,0.027739289453480694,0.15882107734247883,0.21429965624944022
48197,"Hardeman County, Texas",63333,15015,366,111,3427,50,0.10679894951852932,0.03235234300405757,0.07444660651447174,0.1391512925225869
48483,"Wheeler County, Texas",60167,10942,732,195,4753,36,0.15400799495055753,0.04101013376585688,0.11299786118470065,0.1950181287164144
48017,"Bailey County, Texas",61420,15970,811,291,6745,344,0.12023721275018533,0.04270504279811963,0.07753216995206569,0.16294225554830497
48439,"Tarrant County, Texas",84207,832,237215,7971,2136011,1124,0.11105513969731429,0.0037312647508620533,0.10732387494645224,0.11478640444817634
48485,"Wichita County, Texas",63524,2811,19500,1940,118245,459,0.16491183559558545,0.016394120008973508,0.14851771558661195,0.18130595560455895
48307,"McCulloch County, Texas",54043,13471,1129,322,7363,54,0.15333423876137445,0.04371771343143199,0.10961652532994245,0.19705195219280644
48177,"Gonzales County, Texas",58672,4856,3091,575,19542,11,0.15817214205301403,0.029423670433957695,0.12874847161905634,0.1875958124869717
48221,"Hood County, Texas",88160,6107,4978,816,64987,81,0.07659993537168973,0.0125559944421704,0.06404394092951933,0.08915592981386013
48501,"Yoakum County, Texas",84925,12867,1258,689,7497,4,0.16780045351473924,0.09190338442953552,0.07589706908520372,0.25970383794427476
48227,"Howard County, Texas",69649,3878,4006,570,28984,456,0.13821418713773115,0.019545434294491185,0.11866875284323997,0.15775962143222233
48099,"Coryell County, Texas",71301,2442,7618,1066,68170,651,0.11175003667302333,0.015600919938975093,0.09614911673404823,0.1273509566119984
48451,"Tom Green County, Texas",68370,2936,12762,1646,114838,314,0.11113046204218116,0.014330013360484305,0.09680044868169685,0.12546047540266547
48149,"Fayette County, Texas",75854,3307,2120,416,24569,70,0.08628759819284464,0.016930121197322918,0.06935747699552172,0.10321771939016755
48447,"Throckmorton County, Texas",59216,5647,397,130,1639,148,0.2422208663819402,0.07624129325364563,0.1659795731282946,0.31846215963558583
48009,"Archer County, Texas",72159,8735,808,183,8808,14,0.09173478655767484,0.02077605510966245,0.07095873144801239,0.11251084166733728
48013,"Atascosa County, Texas",70770,4131,7970,1425,50338,178,0.15832969128690055,0.028303096740285888,0.13002659454661467,0.18663278802718644
